"g031_case" "g032_case" "g033_case" "g034_cont" "g035_cont" "g036_cont"
"ENSG00000238660" 0 0 0 0 0 0
"ENSG00000238851" 0 0 0 0 0 0
"ENSG00000239023" 0 0 0 0 0 0
"ENSG00000239107" 0 0 0 0 0 0
"ENSG00000239171" 0 0 0 0 0 0
"ENSG00000239179" 0 0 0 0 0 0
"ENSG00000239415" 0 0 0 0 0 0
"ENSG00000239930" 0 0 0 0 0 0
"ENSG00000240432" 0 0 0 0 0 0
"ENSG00000240755" 0 0 0 0 0 0
"ENSG00000240770" 0 0 0 0 0 0
"ENSG00000241123" 1 0 0 1 1 0
"ENSG00000241728" 0 0 0 0 0 0
"ENSG00000241837" 0 0 1 1 1 1
"ENSG00000241945" 1 0 0 2 1 5
"ENSG00000242220" 0 0 0 0 0 0
"ENSG00000242553" 1 0 0 0 0 0
"ENSG00000242871" 1 1 1 0 0 0
"ENSG00000243064" 2 3 2 4 4 4
"ENSG00000243440" 0 0 0 0 0 0
"ENSG00000243489" 0 0 0 2 1 0
"ENSG00000243627" 0 0 0 0 0 0
"ENSG00000243646" 0 0 1 2 1 1
"ENSG00000243927" 0 0 0 1 2 2
"ENSG00000244025" 0 0 0 0 0 0
"ENSG00000244278" 0 0 0 0 0 0
"ENSG00000244294" 0 0 0 0 0 0
"ENSG00000244362" 0 0 0 0 0 0
"ENSG00000244624" 0 0 0 0 0 0
"ENSG00000244676" 0 0 0 1 1 1
"ENSG00000248476" 0 0 0 0 0 0
"ENSG00000249209" 0 0 0 0 0 0
"ENSG00000249493" 0 0 0 0 0 0
"ENSG00000249624" 0 0 0 0 0 0
"ENSG00000250973" 0 0 0 0 0 0
"ENSG00000251778" 0 0 0 0 0 0
"ENSG00000251851" 0 0 0 0 0 0
"ENSG00000251894" 0 0 0 0 0 0
"ENSG00000251972" 0 2 0 2 2 0
"ENSG00000252045" 0 0 0 0 0 0
"ENSG00000252199" 0 0 0 0 0 0
"ENSG00000252273" 0 0 0 0 0 0
"ENSG00000252462" 0 0 0 0 0 0
"ENSG00000252606" 0 0 0 0 0 0
"ENSG00000252613" 0 0 0 0 0 0
"ENSG00000252619" 0 0 0 1 0 0
"ENSG00000252771" 0 0 0 0 0 0
"ENSG00000252915" 0 0 0 0 0 0
"ENSG00000252950" 0 0 0 0 0 0
"ENSG00000252963" 0 0 0 0 0 0
"ENSG00000255568" 0 0 0 0 0 0
"ENSG00000255902" 0 0 0 0 0 0
"ENSG00000256073" 0 0 0 1 0 1
"ENSG00000256212" 0 0 0 0 0 0
"ENSG00000256386" 0 0 0 0 0 0
"ENSG00000256715" 0 0 0 0 0 0
"ENSG00000256818" 0 0 0 0 0 0
"ENSG00000259981" 0 0 0 0 0 0
"ENSG00000260256" 0 0 0 0 0 0
"ENSG00000260583" 0 0 0 0 0 0
"ENSG00000261610" 0 0 0 0 0 0
"ENSG00000261706" 0 0 0 0 0 0
"ENSG00000263681" 0 0 0 0 0 0
"ENSG00000263796" 0 0 0 0 0 0
"ENSG00000263839" 0 0 0 0 0 0
"ENSG00000263969" 0 0 0 0 0 0
"ENSG00000263973" 0 0 0 0 0 0
"ENSG00000264002" 0 0 0 0 0 0
"ENSG00000264009" 0 0 0 0 0 0
"ENSG00000264055" 0 0 0 0 0 0
"ENSG00000264063" 0 0 0 0 0 0
"ENSG00000264452" 0 0 0 0 0 0
"ENSG00000264462" 0 0 0 0 0 0
"ENSG00000264580" 0 0 0 0 0 0
"ENSG00000264691" 0 0 0 0 0 0
"ENSG00000265007" 0 0 0 0 0 0
"ENSG00000265590" 0 0 0 0 0 0
"ENSG00000265841" 0 0 0 0 0 0
"ENSG00000265882" 0 1 0 0 0 0
"ENSG00000266007" 0 0 0 0 0 0
"ENSG00000266133" 0 0 0 0 0 1
"ENSG00000266195" 0 0 0 0 0 0
"ENSG00000266211" 0 0 0 0 0 0
"ENSG00000266299" 0 0 0 0 0 0
"ENSG00000266692" 0 0 0 0 0 0
"ENSG00000266838" 0 0 0 0 0 0
"ENSG00000266892" 0 0 0 0 1 4
"ENSG00000267812" 0 0 0 0 0 0
"ENSG00000267857" 0 1 0 1 0 0
"ENSG00000267883" 0 0 0 0 0 0
"ENSG00000267913" 0 0 0 0 0 0
"ENSG00000267937" 0 0 0 0 0 0
"ENSG00000267976" 0 1 1 1 3 2
"ENSG00000268040" 0 1 0 0 1 0
"ENSG00000268098" 0 0 0 0 0 0
"ENSG00000268265" 0 0 0 1 0 0
"ENSG00000268805" 0 1 0 1 0 0
"ENSG00000268856" 0 0 0 0 0 0
"ENSG00000269011" 0 0 0 0 0 0
"ENSG00000269430" 0 0 0 0 0 0
"ENSG00000269950" 0 0 0 1 1 3
"ENSG00000270071" 0 0 0 0 1 1
"ENSG00000270093" 0 0 0 0 0 0
"ENSG00000270116" 0 0 0 0 1 0
"ENSG00000270139" 0 0 0 0 0 1
"ENSG00000270533" 0 0 0 0 0 0
"ENSG00000270652" 0 0 0 0 1 1
"ENSG00000270835" 0 0 0 0 0 0
"ENSG00000271308" 0 0 0 0 0 0
"ENSG00000271486" 0 0 0 0 0 0
"ENSG00000272015" 0 0 0 0 0 0
"ENSG00000272283" 0 0 1 0 0 0
"ENSG00000272657" 0 0 0 0 0 0
"ENSG00000272659" 0 0 0 0 0 0
"ENSG00000272825" 0 0 0 0 0 0
"ENSG00000272948" 0 0 0 0 0 0
"ENSG00000272958" 0 0 0 0 0 0
"ENSG00000272962" 0 0 0 0 0 0
"ENSG00000272991" 0 0 0 1 0 0
"ENSG00000273017" 0 0 0 0 0 0
"ENSG00000273027" 0 0 0 0 0 0
"ENSG00000273091" 0 0 0 0 0 0
"ENSG00000273102" 0 0 0 0 0 0
"ENSG00000273104" 0 0 0 0 0 0
"ENSG00000273115" 0 0 0 0 0 0
"ENSG00000273199" 0 0 0 0 0 0
"ENSG00000273210" 0 0 0 0 0 0
"ENSG00000273254" 0 0 0 0 0 0
"ENSG00000273271" 0 0 0 1 1 2
"ENSG00000273464" 2 0 1 1 0 1
"ENSG00000273492" 0 0 0 0 0 0
